company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels at Mumbai Port,"Mumbai, Maharashtra",India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-09-2023,Completed in September 2023,DGPS and GYRO verification for 3 vessels at Mumbai Port. (Completed in September 2023),18.95,72.9
Reliance Industries Limited Kakinada,Inspection services for shallow water asset integrity as per SOW for block : KG-DWN-98/3,"Kakinada, Andhra Pradesh",India,Oil & Gas,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-08-2023,Completed in May 2024,Inspection services for shallow water asset integrity as per SOW for block : KG-DWN-98/3. (Completed in May 2024),16.989,82.247
National Institute of Ocean Technology,Conducting Bathymetry Survey along the Tamil Nadu Coast.,Tamil Nadu Coast,India,Academia & Research,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2023,Completed in Dec 2024,Conducting Bathymetry Survey along the Tamil Nadu Coast (Completed in Dec 2024),10.9416,79.8485
GAIL India Limited,Side scan sonar survey in rivers at pipeline crossings of DBPL pipeline including SPUR lines,Not specified,India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-06-2023,Completed in February 2024,Side scan sonar survey in rivers at pipeline crossings of DBPL pipeline including SPUR lines. (Completed in February 2024),19.076,72.8777
Zenith Survey (I) Pvt. Ltd.,Hiring of survey equipment and manpower,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2023,Completed in June 2023,Hiring of survey equipment and manpower. (Completed in June 2023),19.076,72.8777
DNOCS Limited,Services for test/trial of multibeam Echosounder - Payra Port Authority,Bangladesh,Bangladesh,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-05-2023,Completed in June 2023,Services for test/trial of multibeam Echosounder - Payra Port Authority. (Completed in June 2023),22,90.5
International Seaport Dredging,Provision of Multibeam set with operator,Not specified,India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-04-2023,Completed in May 2023,Provision of Multibeam set with operator. (Completed in May 2023),19.076,72.8777
EGS (Asia) Limited,Provision of Personnel Support onboard Ocean Invincible for RAMAN Project,RAMAN,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2023,Completed in April 2023,Provision of Personnel Support onboard Ocean Invincible for RAMAN Project. (Completed in April 2023),19.076,72.8777
Amphibia Consultants Pvt. Ltd.,Marine Route Survey (inshore) for RAMAN Fiber Optic Cable System.,RAMAN,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2023,Completed in April 2023,Marine Route Survey (inshore) for RAMAN Fiber Optic Cable System (Completed in April 2023),19.076,72.8777
SAExploration Inc-Marine,Navigation Calibration of two vessels Nand Sarthi and Parasea,Not specified,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2023,Completed in March 2023,Navigation Calibration of two vessels Nand Sarthi and Parasea. (Completed in March 2023),19.076,72.8777
Zenith Survey (I) Pvt. Ltd.,"Provision of Survey Equipment and Team for Dahej Project Site, Gujarat","Dahej, Gujarat",India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2023,Completed in March 2023,"Provision of Survey Equipment and Team for Dahej Project Site, Gujarat. (Completed in March 2023)",21.702,72.584
SAExploration Inc-Marine,Provision of 125 KHz Multibeam System at Hazira,"Hazira, Gujarat",India,Oil & Gas,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-02-2023,Completed in April 2023,Provision of 125 KHz Multibeam System at Hazira. (Completed in April 2023),21.114,72.617
EGS (Asia) Limited,Provision of Personnel Support onboard Ocean Invincible (KSA),Saudi Arabia,Saudi Arabia,Submarine Cable Contractors,Middle East,Bathymetry Survey,Bathymetry Survey; Submarine Cable Route Surveys,01-02-2023,Completed in March 2023,Provision of Personnel Support onboard Ocean Invincible (KSA). (Completed in March 2023),26,50.1
SAExploration Inc-Marine,Service of Survey Engineer for shallow water hazard survey at Hazira,"Hazira, Gujarat",India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-01-2023,Completed in April 2023,Service of Survey Engineer for shallow water hazard survey at Hazira. (Completed in April 2023),21.114,72.617
International Seaport Dredging,Provision of Single Beam System and Operators at Kakinada,"Kakinada, Andhra Pradesh",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,Completed in February 2023,Provision of Single Beam System and Operators at Kakinada. (Completed in February 2023),16.989,82.247
International Seaport Dredging,Provision of Multibeam System and Operators at Kakinada,"Kakinada, Andhra Pradesh",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,Completed in February 2023,Provision of Multibeam System and Operators at Kakinada. (Completed in February 2023),16.989,82.247
Gujarat Pipavav Port Ltd.,Bathymetric Survey for Maintenance Dredging works at Gujarat Pipavav Port Limited (APM Terminals Pipavav),"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,Completed,Bathymetric Survey for Maintenance Dredging works at Gujarat Pipavav Port Limited (APM Terminals Pipavav). (Completed),20.92,71.51
Lightstorm Telecom Connectivity Private Limited,"Desktop Study including site visits at Mahuva, Daman and Alibaug site",Nargol/Daman,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-11-2022,Completed in November 2022,"Desktop Study including site visits at Mahuva, Daman and Alibaug site. (Completed in November 2022)",20.2,72.75
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels,Not specified,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-11-2022,Completed in December 2022,DGPS and GYRO verification for 3 vessels. (Completed in December 2022),19.076,72.8777
DNOCS Limited / OMC Bangladesh,Services for Test / Trial and Training of Multibeam Echo Sounder,Bangladesh,Bangladesh,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2022,Completed in November 2022,Services for Test / Trial and Training of Multibeam Echo Sounder. (Completed in November 2022),22,90.5
Adani Port & Special Economic Zone Ltd.,Mundra Intake Outfall Study,"Mundra, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-08-2022,Completed in October 2022,Mundra Intake Outfall Study. (Completed in October 2022),22.839,69.721
Sati Drugs & Surgicals,"Training for Side Scan Sonar - PULSAR at Fire & Emergency Services, Assam, Guwahati",Assam,India,Industrial & Materials,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-07-2022,Completed in August 2022,"Training for Side Scan Sonar - PULSAR at Fire & Emergency Services, Assam, Guwahati. (Completed in August 2022)",26.14,91.73
Petronet LNG,Bathymetry Survey at Dahej,"Dahej, Gujarat",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2022,Completed in October 2022,Bathymetry Survey at Dahej. (Completed in October 2022),21.702,72.584
EGS (Asia) Ltd.,Provision of Survey Personnel Support for Israel Landfall Survey and Reporting,Israel,Israel,Submarine Cable Contractors,Middle East,Submarine Cable Route Surveys AND Bathymetry Survey,Submarine Cable Route Surveys; Bathymetry Survey,01-07-2022,Completed in September 2022,Provision of Survey Personnel Support for Israel Landfall Survey and Reporting. (Completed in September 2022),32.08,34.78
EGS (Asia) Ltd.,Provision of Personnel Support onboard Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2022,Completed in August 2022,Provision of Personnel Support onboard Northern Endeavour. (Completed in August 2022),1.3521,103.8198
Atlantis Consultancy / Lightstorm,"Mini DTS at Versova Mumbai, Mandvi, Kochi, Digha, Chennai and Machlipatnam","Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-06-2022,Completed in October 2022,"Mini DTS at Versova Mumbai, Mandvi, Kochi, Digha, Chennai and Machlipatnam. (Completed in October 2022)",13.083,80.27
EGS (Asia) Ltd.,Site visits for SMW6 cable project in India (Mumbai and Chennai),"Chennai, Tamil Nadu",India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-03-2022,Completed in May 2022,Site visits for SMW6 cable project in India (Mumbai and Chennai). (Completed in May 2022),13.083,80.27
Shree Krishna Stevedores Pvt Ltd.,Search Survey of sunken vessel Shree Krishna VIII off Goa,Goa,India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-02-2022,Completed in February 2022,Search Survey of sunken vessel Shree Krishna VIII off Goa. (Completed in February 2022),15.4,73.8
Tata Communications Transformations Services Limited,Selection of Independent Monitoring Agency for Submarine Optical Fibre Cable Project for Kochi Lakshadweep Islands,Lakshadweep,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-12-2021,Completed in May 2023,Selection of Independent Monitoring Agency for Submarine Optical Fibre Cable Project for Kochi Lakshadweep Islands. (Completed in May 2023),10.57,72.64
EGS Asia Ltd,Support services on vessel Northern Endeavour for IAX/IEX project,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2021,Completed June 2022,Support services on vessel Northern Endeavour for IAX/IEX project. (Completed June 2022),19.076,72.8777
Amphibia Consultants,"Marine Route Survey for Submarine Fibre Optic Cable System Projects, at West Coast and East Coast of India",Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2021,Completed June 2022,"Marine Route Survey for Submarine Fibre Optic Cable System Projects, at West Coast and East Coast of India. (Completed June 2022)",19.076,72.8777
Atlantis Consultants Pvt. Ltd.,Mumbai (Juhu and Versova) site visit for Desktop Study,"Mumbai, Maharashtra",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-11-2021,Completed in November 2021,Mumbai (Juhu and Versova) site visit for Desktop Study. (Completed in November 2021),18.95,72.9
Petronet LNG Limited (Dahej),Bathymetry Survey at Dahej,"Dahej, Gujarat",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2021,Completed in December 2021,Bathymetry Survey at Dahej. (Completed in December 2021),21.702,72.584
UltraTech Cement Limited,Topography Work at GCW and Topography & Marine Survey Work at Jafrabad,"Jafrabad, Gujarat",India,Industrial & Materials,Asia,Topographic Survey,Topographic Survey,01-09-2021,Completed in October 2021,Topography Work at GCW and Topography & Marine Survey Work at Jafrabad. (Completed in October 2021),20.87,71.37
SARK EPC Projects Pvt. Ltd,Offshore CIPL survey on Uran Mandwa pipeline for GAIL Mumbai Project,"Mumbai, Maharashtra",India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-09-2021,Completed in December 2021,Offshore CIPL survey on Uran Mandwa pipeline for GAIL Mumbai Project. (Completed in December 2021),18.95,72.9
The Shipping Corporation of India Limited,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,Not specified,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-08-2021,Completed in December 2023,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK. (Completed in December 2023),19.076,72.8777
EGS (Asia) Ltd.,RAMAN - Site visit in Mumbai,"Mumbai, Maharashtra",India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2021,Completed in August 2021,RAMAN - Site visit in Mumbai. (Completed in August 2021),18.95,72.9
Zenith Survey (I) Pvt. Ltd.,Geophysical and Bathymetric Survey at Omkareshwar site in Madhya Pradesh,Central/East India,India,Survey & Geoscience Contractors,Asia,Geophysical Survey AND Bathymetric Survey,Geophysical Survey; Bathymetry Survey,01-05-2021,Completed in February 2021,Geophysical and Bathymetric Survey at Omkareshwar site in Madhya Pradesh. (Completed in February 2021),22,79
GeoAcoustics Ltd.,To complete SAT on GeoPulse + System on NIOT Vessel Sagar Anveshika,Not specified,India,Marine Technology & Equipment,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2021,Completed in February 2021,To complete SAT on GeoPulse + System on NIOT Vessel Sagar Anveshika. (Completed in February 2021),19.076,72.8777
Sapura Engineering & Construction (India) Pvt. Ltd.,Barge Positioning & Survey System (Jamnagar),"Jamnagar, Gujarat",India,Engineering & Construction,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-12-2020,Completed in August 2021,Barge Positioning & Survey System (Jamnagar). (Completed in August 2021),22.47,70.06
Dahej Harbour Infrastructure Limited,"Bathymetric Survey for DHIL Jetty during Pre, Interim and Post Dredging","Dahej, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-12-2020,Completed in January 2021,"Bathymetric Survey for DHIL Jetty during Pre, Interim and Post Dredging. (Completed in January 2021)",21.702,72.584
Narmada Water Resources,Conducting Bathymetric Survey of Reservoirs of Saurashtra Region under National Hydrology Project,"Narmada, Gujarat",India,"Government, Defence & Public Sector",Asia,Bathymetry survey,Bathymetry Survey,01-12-2020,Completed in August 2021,Conducting Bathymetric Survey of Reservoirs of Saurashtra Region under National Hydrology Project. (Completed in August 2021),21.7,72.9
Atlantis Consultancy,Site visit supervision of IAX/ IEX - Malaysia,Not specified,Malaysia,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2020,Completed in September 2020,Site visit supervision of IAX/ IEX - Malaysia. (Completed in September 2020),4.2105,101.9758
Dredging Corporation of India Limited,Provision of Surveyor to act as DCI Rep for ongoing survey works at JNPT,"Mumbai, Maharashtra",India,"Government, Defence & Public Sector",Asia,Topographic Survey,Topographic Survey,01-09-2020,Completed in Oct 2020,Provision of Surveyor to act as DCI Rep for ongoing survey works at JNPT. (Completed in Oct 2020),18.95,72.9
Atlantis Consultancy,Site visit supervision of IAX/ IEX - Mumbai and Chennai,"Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2020,Completed in September 2020,Site visit supervision of IAX/ IEX - Mumbai and Chennai. (Completed in September 2020),13.083,80.27
Atlantis Consultancy,DTS at Versova and KharDanda,"Mumbai, Maharashtra",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-09-2020,Completed in September 2020,DTS at Versova and KharDanda. (Completed in September 2020),18.95,72.9
Vedanta Limited,Geophysical Survey,Not specified,India,Oil & Gas,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-09-2020,Completed in November 2020,Geophysical Survey. (Completed in November 2020),19.076,72.8777
Petronet LNG Limited (Dahej),Bathymetry Survey at Dahej,"Dahej, Gujarat",India,Oil & Gas,Asia,Bathymetry survey,Bathymetry Survey,01-08-2020,Completed in September 2020,Bathymetry Survey at Dahej. (Completed in September 2020),21.702,72.584
Sapura Engineering & Construction (India) Pvt. Ltd.,"Provision of As built Survey for 42"" Pipeline, 4"" FOC, Bathymetry Survey (including boat) & Topography Survey",Not specified,India,Engineering & Construction,Asia,Bathymetry survey AND Topography Survey,Bathymetry Survey; Topographic Survey,01-06-2020,Completed in June 2020,"Provision of As built Survey for 42"" Pipeline, 4"" FOC, Bathymetry Survey (including boat) & Topography Survey. (Completed in June 2020)",19.076,72.8777
NEC Technologies India Pvt. Ltd.,Feasibility study of Mumbai - Hulu Male cable route,"Mumbai, Maharashtra",India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,Completed in May 2020,Feasibility study of Mumbai - Hulu Male cable route. (Completed in May 2020),18.95,72.9
Gujarat Pipavav Port Limited,Pre and Post Dredging Bathymetry survey at APM Terminals Pipavav,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-02-2020,Completed,Pre and Post Dredging Bathymetry survey at APM Terminals Pipavav. (Completed),20.92,71.51
A to Z AXIM,Bathymetry Survey at Sittwe Port Myanmar,Myanmar,Myanmar,Survey & Geoscience Contractors,Asia,Bathymetry survey,Bathymetry Survey,01-02-2020,,Bathymetry Survey at Sittwe Port Myanmar.,20.15,92.9
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Ridley Thomas,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,Completed in June 2020,Provision of Personnel Support onboard vessel Ridley Thomas. (Completed in June 2020),19.076,72.8777
Bharti Airtel Ltd.,EIG Submarine Cable Survey at Versova,"Mumbai, Maharashtra",India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,,EIG Submarine Cable Survey at Versova.,18.95,72.9
EGS (Asia) Ltd,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Route Surveys,Submarine Cable Route Surveys,01-02-2020,Completed in June 2020,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in June 2020),1.3521,103.8198
FCG ANZDEC Limited,Sustainable Coastal Protection & Management Investment Program Tranche 2 - Third-party Inspection/Diving: Under Water photography and video recordings of the progress of Someshwara offshore reef construction works,"Kochi, Kerala",India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2020,Completed in May 2020,Sustainable Coastal Protection & Management Investment Program Tranche 2 - Third-party Inspection/Diving: Under Water photography and video recordings of the progress of Someshwara offshore reef construction works. (Completed in May 2020),9.931,76.267
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Ridley Thomas,India,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2020,Completed in March 2020,Provision of Personnel Support onboard vessel Ridley Thomas. (Completed in March 2020),19.076,72.8777
New Horizon Surveys India Private Limited,"ADCP Observation at Kashid Site, Maharashtra",Maharashtra,India,Survey & Geoscience Contractors,Asia,Bathymetry survey,Bathymetry Survey,01-01-2020,Completed in January 2020,"ADCP Observation at Kashid Site, Maharashtra. (Completed in January 2020)",18.423,72.906
Cairn India Ltd.,Vessel Positioning Services for Ravva Field,"Ravva Field, Andhra Pradesh",India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2020,Completed,Vessel Positioning Services for Ravva Field. (Completed),16.35,82
Gujarat Pipavav Port Limited,Bathymetry survey at APM Terminals Pipavav,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-12-2019,Completed in December 2019,Bathymetry survey at APM Terminals Pipavav. (Completed in December 2019),20.92,71.51
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2019,Completed in December 2019,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in December 2019),1.3521,103.8198
